room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1782,1991,Private room,Hounslow,Cranford,8,4.5,4,1,42,1,51.473306,-0.401079,06:56.1
6487,11077537,Private room,Haringey,Crouch End,167,4.5,2,1,123,2,51.574172,-0.129405,39:07.6
9293,29896,Private room,Kensington and Chelsea,Chelsea Riverside,77,4.5,4,1,151,1,51.482968,-0.174777,10:34.4
9554,31655,Private room,Haringey,Harringay,55,5,2,1,61,2,51.587767,-0.105666,24:15.2
9607,31968,Private room,Lambeth,Clapham Town,1,4.5,1,1,104,1,51.466078,-0.133797,54:29.2
11067,40327,Entire home/apt,Hackney,Haggerston,0,,7,2,312,4,51.536689,-0.076153,21:10.4
11076,40471,Private room,Ealing,Ealing Broadway,0,,2,1,132,2,51.515645,-0.314508,44:50.1
11551,43039,Entire home/apt,Lambeth,Ferndale,117,4.5,4,1,189,2,51.462254,-0.117324,05:37.9
13913,54730,Private room,Islington,Tollington,8,4.5,2,1,93,1,51.568017,-0.111208,45:41.2
14344,53348,Private room,Camden,Gospel Oak,118,4,2,1,47,1,51.550621,-0.153887,59:46.9
14613,57474,Private room,Westminster,Hyde Park,1,2.5,2,1,95,1,51.513213,-0.176339,38:34.4
15400,60302,Entire home/apt,Kensington and Chelsea,Stanley,37,5,2,1,180,3,51.48792,-0.168103,31:13.2
16105,62822,Entire home/apt,Hackney,Hoxton East & Shoreditch,15,4.5,2,,161,2,51.524921,-0.078051,31:22.6
17402,67564,Entire home/apt,Camden,Bloomsbury,19,4.5,6,3,437,3,51.521874,-0.138341,18:35.8
18317,37014,Entire home/apt,Richmond upon Thames,Kew,7,5,5,2,237,3,51.470723,-0.290196,11:57.8
18646,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5,6,3,549,3,51.535615,-0.079017,38:40.7
18647,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5,8,3,577,3,51.528852,-0.080505,41:46.2
18649,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,4,4.5,3,,246,3,51.529854,-0.081532,47:12.7
18650,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,,3,1,303,3,51.528572,-0.081756,49:40.7
21759,1245194,Entire home/apt,Hackney,Hoxton East & Shoreditch,10,5,6,2,322,2,51.526593,-0.080295,33:06.1
23616,93107,Private room,Merton,Raynes Park,48,5,4,1,142,2,51.413373,-0.235151,34:16.3
23859,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5,3,1,246,3,51.52923,-0.080532,00:20.2
23977,94861,Private room,Kensington and Chelsea,Colville,2,5,2,1,189,2,51.512665,-0.203618,34:32.6
24108,30780,Private room,Southwark,South Camberwell,17,4.5,1,1,79,3,51.469507,-0.082122,41:26.4
24328,41759,Entire home/apt,Wandsworth,St. Mary's Park,30,5,6,2,303,1,51.474514,-0.164482,00:18.4
24903,54987,Entire home/apt,Tower Hamlets,Limehouse,3,4,5,2,377,3,51.51154,-0.037023,54:16.2
25121,40327,Entire home/apt,Southwark,Grange,0,,8,3,530,3,51.498978,-0.079701,12:45.3
25123,103583,Private room,Barnet,Childs Hill,60,5,2,1,66,5,51.572243,-0.20906,18:28.9
25978,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,2,4.5,3,1,246,3,51.530781,-0.082135,19:13.0
26223,110865,Entire home/apt,Islington,St. Mary's,23,4.5,5,1,221,3,51.542362,-0.103796,48:40.5
26482,110865,Entire home/apt,Islington,St. Mary's,19,4.5,4,1,221,3,51.53915,-0.10137,57:10.4
26713,113767,Private room,Westminster,Little Venice,112,4.5,3,1,74,1,51.522826,-0.187265,46:06.2
26810,113767,Private room,Westminster,Westbourne,64,4.5,2,1,74,1,51.523752,-0.188886,18:37.2
27173,116483,Private room,Wandsworth,Earlsfield,2,5,1,1,66,2,51.448076,-0.186985,24:07.6
28010,119316,Private room,Tower Hamlets,Weavers,4,5,3,1,114,2,51.523611,-0.073251,33:16.5
28311,54987,Entire home/apt,Tower Hamlets,Canary Wharf,7,3.5,5,2,397,3,51.500419,-0.01917,41:43.6
28457,54987,Entire home/apt,Tower Hamlets,Canary Wharf,4,4.5,5,2,377,3,51.499312,-0.027412,34:05.2
29256,125781,Entire home/apt,Barnet,Coppetts,1,5,8,4,284,7,51.615092,-0.158291,57:39.5
29453,126604,Private room,Merton,Hillside,120,5,2,1,95,2,51.427037,-0.203383,17:27.7
29837,128581,Entire home/apt,Camden,Highgate,60,5,4,1,360,5,51.558691,-0.155184,12:38.2
30352,131087,Private room,Hackney,Dalston,14,5,2,1,142,1,51.545979,-0.074363,20:53.3
30669,132044,Private room,Lambeth,Brixton Hill,52,4.5,2,1,93,2,51.456278,-0.122242,12:29.7
30671,132046,Private room,Barnet,Golders Green,7,5,2,1,66,1,51.567205,-0.218111,18:55.9
31149,133833,Private room,Richmond upon Thames,East Sheen,0,,2,1,95,1,51.465914,-0.271808,45:30.1
31361,134606,Private room,Newham,Plaistow North,31,5,2,1,66,1,51.534841,0.027071,39:57.3
32177,138843,Entire home/apt,Kensington and Chelsea,Brompton & Hans Town,36,4,2,1,187,5,51.491308,-0.166376,55:16.8
34144,147223,Entire home/apt,Camden,Holborn and Covent Garden,5,5,5,2,303,6,51.515499,-0.125495,05:32.1
34575,149266,Entire home/apt,Islington,Caledonian,5,5,2,1,161,7,51.540928,-0.1192,23:42.6
34825,150078,Private room,Camden,King's Cross,66,5,4,1,85,1,51.525131,-0.117492,03:47.3
35203,12106397,Private room,Camden,Bloomsbury,0,,2,1,284,1,51.519167,-0.124834,45:07.7
35337,152128,Private room,Kingston upon Thames,St. Mark's,4,5,1,1,64,2,51.399453,-0.291019,03:49.9
36299,155938,Entire home/apt,Richmond upon Thames,Kew,22,5,5,3,369,3,51.479345,-0.280662,07:12.2
